Name,Age,Nationality,Position,Finishing,ShortPassing,LongPassing,Acceleration,SprintSpeed,Agility,Balance,ShotPower,Jumping,Stamina,Strength,quality_level
F. Guilbert,23,France,RB,40,72,64,70,75,61,73,65,80,78,76,A
Varela,30,Cape Verde,LCB,43,56,51,69,66,58,72,45,82,75,87,A
A. Silva,28,Uruguay,RW,63,74,69,84,84,83,79,70,69,85,60,A
Manu Trigueros,26,Spain,RCM,71,86,83,68,65,76,72,81,77,77,63,A
Sérgio Oliveira,26,Portugal,CM,67,81,79,62,56,66,67,87,56,74,65,A
R. Snodgrass,30,Scotland,RM,71,74,72,61,65,72,67,81,57,73,70,A
S. Defour,30,Belgium,LCM,67,81,78,67,62,71,79,76,70,77,68,A
C. Njie,24,Cameroon,ST,74,72,64,91,94,90,82,75,68,76,61,A
E. Puch,31,Chile,LM,71,68,64,82,79,87,79,74,65,77,60,A
M. Depay,24,Netherlands,ST,79,80,74,87,87,82,79,87,74,79,80,A
M. Zaldivia,27,Argentina,RCB,32,65,65,60,54,47,54,47,83,80,78,A
L. Villafañez,26,Argentina,RM,67,73,72,78,77,79,84,70,59,66,43,A
Marcelo,28,Brazil,CB,24,63,64,66,64,64,68,35,90,66,71,A
A. Clayton,29,England,CDM,59,75,73,67,67,66,69,68,61,76,65,A
M. Fabián,28,Mexico,CAM,72,77,74,69,66,86,86,81,67,71,64,A
Vitolo,28,Spain,LM,77,79,80,78,77,74,63,77,70,80,81,A
R. Petrović,29,Serbia,CDM,48,75,74,46,40,41,34,63,60,79,79,A
Júlio Tavares,29,Cape Verde,ST,75,69,42,66,55,69,49,76,59,69,86,A
G. Bussmann,27,France,LB,54,62,59,66,69,63,62,76,75,69,75,A
D. Janmaat,28,Netherlands,RB,60,75,68,68,69,68,63,76,69,86,70,A
C. Söyüncü,22,Turkey,LCB,37,56,55,67,72,64,58,65,68,67,78,A
Petros,29,Brazil,LDM,61,80,78,72,73,70,70,80,61,88,71,A
J. Mišić,24,Croatia,CM,62,76,75,65,67,69,65,72,74,65,75,A
T. Müller,28,Germany,CAM,87,83,72,73,75,75,72,78,81,87,68,A
Cristian Tello,26,Spain,LM,74,77,70,92,89,82,79,78,72,73,58,A
P. Martinez,29,France,LCB,37,66,70,68,68,68,67,52,75,75,74,A
A. Christiansen,28,Denmark,RCM,64,72,74,71,73,84,83,72,77,81,62,A
S. Morrison,27,England,RCB,22,53,47,44,46,54,45,52,75,59,84,A
Júnior Urso,29,Brazil,RCM,65,77,68,66,69,59,77,74,72,82,74,A
K. Iheanacho,21,Nigeria,ST,77,67,61,78,78,72,68,75,62,69,70,A
O. Sorg,28,Germany,RB,40,72,62,75,69,77,79,79,63,74,64,A
P. Sisto,23,Denmark,LW,76,70,65,81,81,82,84,82,82,80,64,A
O. Kamara,28,Norway,LS,77,64,48,71,77,72,70,75,81,79,77,A
N. Elvedi,21,Switzerland,RCB,30,72,55,73,77,66,54,42,73,78,77,A
P. Capelle,31,France,LWB,68,75,73,74,75,78,67,74,69,78,67,A
Wallace,23,Brazil,RCB,21,57,50,66,69,46,40,40,71,54,81,A
D. Schwaab,29,Germany,RCB,32,72,69,65,72,63,61,54,72,74,76,A
Fransérgio,27,Brazil,LCM,67,74,77,51,59,57,52,85,52,70,75,A
V. Behrami,33,Switzerland,CM,54,74,72,67,67,70,69,76,70,73,74,A
S. Umtiti,24,France,CB,51,81,73,71,73,68,66,83,89,78,84,A
G. Töre,26,Turkey,RM,66,74,76,82,84,82,80,74,58,66,75,A
Kel Perinho,34,Brazil,RCB,36,74,74,40,66,43,45,60,42,59,85,A
Marcos Paneira,30,Brazil,LDM,59,73,71,59,55,57,61,54,71,72,73,A
Héldon,29,Cape Verde,LM,71,67,58,86,84,83,77,75,63,74,53,A
L. Deaux,29,France,CDM,51,76,74,51,63,58,52,66,67,87,80,A
C. Ünder,20,Turkey,LM,71,72,65,83,80,84,82,80,48,61,54,A
Y. Tielemans,21,Belgium,CM,73,78,78,52,53,67,76,88,65,73,69,A
R. Cabella,28,France,CAM,70,79,74,83,77,91,80,73,41,73,50,A
Portillo,28,Spain,RM,73,78,75,67,61,76,86,59,57,73,58,A
J. Tarkowski,25,England,RCB,36,73,72,55,63,58,57,63,82,69,81,A
R. Jiménez,27,Mexico,RS,76,71,67,69,76,73,49,79,68,76,78,A
Ricardo Pereira,24,Portugal,RB,61,80,78,88,87,82,77,67,74,84,60,A
E. Cerutti,26,Argentina,RM,59,68,65,92,87,88,70,68,67,74,56,A
Sebas Couteira,30,Brazil,RAM,70,76,59,81,77,64,70,52,67,48,52,A
Moi Gómez,24,Spain,LCM,68,79,75,72,68,78,79,68,74,76,56,A
R. Durmisi,24,Denmark,LB,53,74,63,79,83,78,91,85,81,91,61,A
C. Santos,30,Venezuela,ST,78,69,67,64,64,73,59,69,76,69,69,A
E. Durm,26,Germany,RWB,50,66,51,78,76,72,66,66,74,79,66,A
S. Prödl,31,Austria,RCB,34,60,49,32,31,29,28,47,34,51,88,A
M. Almirón,24,Paraguay,CAM,74,79,70,90,89,86,64,78,46,85,52,A
M. Estigarribia,30,Paraguay,LCM,63,72,72,81,81,80,71,64,63,77,68,A
Carles Gil,25,Spain,CAM,70,77,75,68,67,74,75,63,60,62,56,A
A. Ramsey,27,Wales,CAM,74,84,80,64,69,73,74,81,66,89,67,A
L. Öztunalı,22,Germany,RM,65,67,67,79,86,73,68,73,66,72,73,A
A. Song,30,Cameroon,CDM,55,75,73,68,65,65,59,68,71,68,75,A
Rodrigo Galo,31,Brazil,RB,36,68,65,78,79,72,74,75,68,78,65,A
Pablo Maffeo,20,Spain,RWB,53,78,63,87,86,82,84,57,61,74,65,A
Dória,23,Brazil,LCB,53,67,63,63,65,41,48,75,69,63,79,A
L. Crisetig,25,Italy,CM,33,78,76,48,54,67,68,70,72,76,76,A
G. Kondogbia,25,Central African Rep.,CM,69,81,79,69,76,76,67,86,83,85,91,A
D. Chygrynskyi,31,Ukraine,LCB,32,69,72,48,52,40,42,53,55,66,87,A
Éder Militão,20,Brazil,LCB,48,67,58,77,78,75,67,62,86,85,76,A
D. Quintero,30,Colombia,CAM,73,72,70,88,87,93,83,73,65,74,58,A
L. Rossettini,33,Italy,LCB,29,58,58,59,55,58,50,65,78,59,81,A
O. Tufan,23,Turkey,CDM,55,73,72,72,69,76,69,78,68,79,76,A
Juanfran,33,Spain,RB,54,77,66,74,86,74,63,68,68,80,74,A
Costinha,25,Portugal,CM,64,73,69,90,80,90,84,73,70,81,39,A
A. Ruiz,24,Argentina,CF,72,78,81,61,58,74,72,86,54,70,78,A
H. Medunjanin,33,Bosnia Herzegovina,LDM,67,78,75,65,57,63,42,83,67,72,74,A
J. Grealish,22,England,LCM,60,78,71,77,72,84,82,62,34,72,48,A
M. Elyounoussi,23,Norway,LM,72,82,75,87,78,84,82,76,81,88,62,A
E. Schelotto,29,Italy,RB,52,69,65,67,75,67,65,75,70,83,69,A
M. Keane,25,England,RCB,50,71,69,58,65,59,62,58,82,68,85,A
Bebé,27,Portugal,LM,73,71,69,76,88,71,59,88,67,74,89,A
A. Touré,24,France,LCM,38,72,73,56,42,38,38,77,30,75,89,A
Tana,27,Spain,CAM,67,77,68,71,65,81,88,65,46,69,53,A
M. Wöber,20,Austria,CB,32,67,67,71,76,65,62,48,76,74,78,A
M. Batshuayi,24,Belgium,ST,82,64,36,77,76,75,76,81,80,66,78,A
J. Pinola,35,Argentina,LCB,38,76,68,68,70,65,67,71,81,67,81,A
Raúl Albiol,32,Spain,RCB,27,74,72,54,53,53,56,65,77,55,82,A
L. Quiñones,27,Colombia,LM,73,69,66,90,93,88,67,71,56,62,63,A
M. Etxeberría,26,Paraguay,LM,47,75,69,76,84,79,74,69,62,75,65,A
A. Knockaert,26,France,RM,71,73,64,75,72,90,84,73,72,72,54,A
S. Sané,27,Senegal,CB,38,73,71,62,62,60,37,77,47,69,88,A
F. Hinestroza,28,Colombia,RM,54,69,63,84,88,83,78,76,80,69,64,A
J. van der Heijden,30,Netherlands,LCB,49,76,77,40,43,60,63,75,82,72,75,A
A. Donatti,31,Argentina,LCB,53,70,68,49,54,52,34,80,86,69,85,A
S. Giovinco,31,Italy,CF,80,80,76,88,80,94,91,80,34,77,42,A
S. Johansen,27,Norway,LCM,69,74,73,66,74,75,76,73,65,83,68,A
Cesc Fàbregas,31,Spain,CM,72,90,89,56,54,62,75,77,63,56,61,A
C. Austin,28,England,LS,79,62,46,62,58,62,55,83,81,55,78,A
Arthur,21,Brazil,LCM,72,85,80,68,70,79,86,76,83,78,62,A
M. Antenucci,33,Italy,LS,80,74,56,75,69,77,73,77,60,68,64,A
L. Stindl,29,Germany,CF,79,85,69,74,67,70,78,81,73,78,69,A
K. Mbappé,19,France,RM,88,82,73,96,96,92,83,79,75,83,71,A
M. Sperduti,32,Argentina,RM,66,68,62,77,74,80,64,76,38,72,73,A
A. Guardado,31,Mexico,CM,60,85,83,74,73,81,88,74,74,84,57,A
Ricardo Ferreira,25,Portugal,CB,26,65,53,50,50,51,49,46,44,60,77,A
E. Kalinski,31,Argentina,RDM,45,80,76,75,61,71,64,59,91,85,82,A
K. El Ahmadi,33,Morocco,RDM,54,79,79,65,63,74,70,74,67,81,73,A
M. Hasebe,34,Japan,CB,45,80,75,53,55,69,72,54,74,70,68,A
M. Diamé,31,Senegal,RCM,64,77,69,67,68,70,69,85,69,79,79,A
C. Maggio,36,Italy,RB,67,74,72,68,72,74,68,75,86,79,77,A
N. Jørgensen,27,Denmark,ST,79,72,63,75,73,65,57,80,68,81,84,A
Z. Tomašević,28,Montenegro,CB,54,69,71,47,62,55,53,69,62,78,84,A
Gazzolisco,30,Brazil,LB,54,77,67,81,82,67,66,84,72,89,82,A
F. Mussis,26,Argentina,CDM,46,71,70,74,71,73,77,76,75,80,78,A
P. Pekarík,31,Slovakia,RB,29,74,64,72,73,73,76,56,63,69,65,A
A. Oyongo,27,Cameroon,LWB,54,67,64,86,86,88,76,68,70,85,59,A
C. Marrugo,32,Colombia,CAM,66,74,72,67,69,69,68,70,30,66,67,A
B. Douglas,28,Scotland,LB,58,73,68,76,76,75,73,76,68,86,59,A
J. McGinn,23,Scotland,RCM,60,73,76,73,71,78,81,72,75,79,77,A
José Callejón,31,Spain,RM,78,80,51,88,89,85,80,78,73,91,55,A
D. Blind,28,Netherlands,LB,46,83,83,62,53,72,75,68,72,83,74,A
J. Aidoo,22,Ghana,LCB,18,48,42,75,79,63,71,40,86,78,88,A
Bruno,28,Spain,CB,23,73,68,32,35,31,32,66,65,71,88,A
J. Gouweleeuw,26,Netherlands,RCB,46,68,80,68,69,65,61,72,68,72,78,A
C. Musonda,21,Belgium,RW,66,73,70,89,80,92,84,70,38,60,41,A
Hélder Lopes,29,Portugal,LB,52,73,60,72,77,66,71,81,55,79,68,A
Claudemir,30,Brazil,RCM,59,79,72,61,63,62,61,70,62,77,77,A
F. Acerbi,30,Italy,CB,37,73,77,65,55,33,35,75,68,81,83,A
Juan Jesus,27,Brazil,CB,20,58,56,76,78,68,58,62,88,75,82,A
Edercinho Sepa,30,Brazil,RCM,65,76,77,74,76,68,68,82,68,77,69,A
A. Diamanti,35,Italy,CAM,60,79,71,68,67,74,71,81,50,65,61,A
S. Cáseres,21,Argentina,CDM,54,75,66,67,70,69,68,56,73,77,71,A
Granero,30,Spain,LCM,73,81,80,55,50,68,67,77,53,55,68,A
M. Akanji,22,Switzerland,LCB,36,78,76,72,86,69,66,58,78,76,84,A
R. Ghezzal,26,Algeria,RM,71,76,71,73,72,76,73,74,59,68,61,A
Héctor Bellerín,23,Spain,RB,52,76,59,94,91,82,77,52,63,84,58,A
G. Imbula,25,France,LCM,51,78,74,70,69,72,67,78,69,78,72,A
G. Dzhikiya,24,Russia,CB,43,65,67,91,75,55,65,74,68,72,86,A
S. Ascacíbar,21,Argentina,CDM,39,80,71,75,65,78,87,53,82,92,61,A
T. Kehrer,21,Germany,RB,37,63,58,74,76,69,65,65,78,74,70,A
M. Silvestre,33,Italy,RCB,32,63,62,48,52,60,58,70,88,54,77,A
R. Pérez,28,Colombia,RCB,28,63,30,55,59,45,66,53,65,65,90,A
J. Montero,28,Ecuador,LM,68,70,68,91,90,84,85,76,69,58,68,A
David López,28,Spain,RCB,65,79,64,57,59,51,55,77,74,75,84,A
M. Stoch,28,Slovakia,RM,70,69,64,87,82,86,86,85,62,71,34,A
Y. Konoplyanka,28,Ukraine,LW,76,77,74,89,79,83,78,76,62,68,63,A
G. Bou,28,Argentina,ST,77,71,61,78,78,74,76,80,77,80,75,A
N. Araújo,26,Mexico,LCB,34,72,66,69,72,50,63,57,66,72,85,A
R. Ibarra,27,Ecuador,RM,60,70,62,89,90,84,75,70,69,79,70,A
D. Musto,31,Argentina,CDM,34,79,76,42,49,52,49,70,65,79,77,A
G. Svensson,31,Sweden,CDM,34,75,69,52,44,48,59,66,73,87,77,A
C. Villanueva,32,Chile,CAM,64,80,77,63,62,89,81,79,35,73,44,A
R. Lewandowski,29,Poland,ST,91,83,65,77,78,78,78,88,84,78,84,A
S. Cristóforo,24,Uruguay,CDM,50,76,78,69,54,76,83,71,72,74,65,A
M. Pucciarelli,27,Italy,ST,74,72,58,90,78,90,86,74,72,78,48,A
Claudiano Sobrino,34,Brazil,RDM,53,76,76,72,74,81,83,58,74,82,71,A
L. Bustamante,32,Argentina,CAM,66,79,74,76,71,81,80,67,74,71,56,A
Y. Rakitskyi,28,Ukraine,LCB,57,78,84,69,72,68,73,87,74,82,84,A
Pedro Obiang,26,Equatorial Guinea,LCM,50,77,79,64,66,68,63,74,72,76,75,A
H. Arter,28,Republic of Ireland,CM,66,80,77,65,58,71,75,76,68,71,69,A
E. Barco,19,Argentina,LM,66,74,54,90,78,83,85,71,41,68,40,A
Bartra,27,Spain,CB,55,79,78,75,72,72,71,66,89,67,71,A
W. Troost-Ekong,24,Nigeria,RCB,23,54,52,65,73,34,59,53,70,67,85,A
Samu Saiz,27,Spain,CAM,66,70,71,78,67,79,86,67,70,72,55,A
Gabriel,24,Brazil,CM,68,76,73,67,51,65,67,77,81,73,79,A
Mauro Cildinho,34,Brazil,RB,44,73,66,81,69,83,84,52,74,78,46,A
A. Lallana,30,England,CM,72,84,76,70,69,78,75,72,70,77,64,A
Orlando Sá,30,Portugal,ST,76,65,49,63,58,63,56,75,71,71,80,A
S. Sydorchuk,27,Ukraine,CM,63,79,75,68,65,57,48,47,59,78,73,A
M. Andreolli,32,Italy,CB,16,55,55,44,53,59,55,59,85,30,79,A
B. Cesar,35,Slovenia,CB,14,54,54,33,31,30,34,47,72,46,92,A
S. İnan,33,Turkey,RDM,68,80,79,55,45,58,61,78,68,66,65,A
E. Thommy,23,Germany,LM,70,74,64,79,77,87,77,69,53,66,51,A
Sergi Enrich,28,Spain,RS,81,79,61,60,65,70,67,77,81,80,83,A
Rubén Alcaraz,27,Spain,LCM,64,75,74,57,53,59,55,80,60,75,72,A
J. Urretaviscaya,28,Uruguay,RW,68,73,66,84,86,77,73,78,66,72,60,A
Samir,23,Brazil,LB,24,62,58,66,68,50,36,60,60,69,76,A
Nicholas Aldair,26,Brazil,RS,75,74,58,59,77,63,60,78,69,83,77,A
Alvildo Sousa,34,Brazil,CAM,62,75,61,73,65,66,62,77,55,71,77,A
L. Bonucci,31,Italy,RCB,48,77,85,57,65,60,52,74,85,71,83,A
V. Lazaro,22,Austria,RM,69,77,75,87,83,83,77,72,56,73,66,A
J. Mascherano,34,Argentina,LDM,42,79,75,69,62,72,78,76,80,76,72,A
M. Sau,30,Italy,ST,69,73,59,87,87,93,94,66,73,74,52,A
Danny,34,Portugal,CAM,67,77,75,64,63,76,74,71,70,60,54,A
Y. Ōsako,28,Japan,CF,72,74,59,77,76,78,78,70,81,71,64,A
Y. Carrasco,24,Belgium,LM,79,77,71,89,87,88,71,84,68,74,59,A
C. Taylor,24,England,LB,49,71,67,71,72,72,71,63,73,74,69,A
Cédric,26,Portugal,RB,57,75,69,79,78,74,83,76,72,86,62,A
P. Aguilar,31,Paraguay,RCB,50,58,62,67,64,60,60,64,91,64,80,A
D. Yedlin,24,United States,RB,40,70,53,93,93,85,76,73,86,86,66,A
M. Topal,32,Turkey,RDM,58,73,71,62,58,64,62,77,77,83,77,A
M. Kelly,28,England,CB,38,68,64,46,52,56,53,61,68,61,76,A
Nolito,31,Spain,LM,79,76,67,74,70,82,81,74,66,70,63,A
A. Wan-Bissaka,20,England,RB,44,66,52,86,87,83,71,51,60,70,67,A
H. Kaldırım,28,Turkey,LB,42,70,70,72,73,68,72,77,68,80,66,A
S. Lichtsteiner,34,Switzerland,RB,45,77,70,65,69,73,77,74,73,76,70,A
D. Caligiuri,30,Italy,RWB,72,78,70,77,78,76,74,78,76,85,70,A
D. da Costa,24,Germany,RM,39,74,70,77,84,68,61,65,81,79,80,A
A. Katai,27,Serbia,RM,74,72,68,67,64,67,73,77,66,71,68,A
Renato Sanches,20,Portugal,CM,65,76,70,79,77,76,90,85,79,86,76,A
L. Sané,31,Senegal,LCB,32,67,66,48,65,52,45,69,83,66,80,A
Wilson Eduardo,27,Portugal,RS,76,73,63,78,81,73,68,83,64,68,68,A
Carvajal,26,Spain,RB,41,81,71,79,84,81,79,64,76,84,74,A
Juan Mata,30,Spain,RM,78,85,79,69,62,84,89,75,70,71,37,A
Y. Gouffran,32,France,LM,69,72,69,76,71,79,76,77,74,69,75,A
I. Diop,21,France,LCB,30,64,59,64,68,46,48,50,73,69,83,A
Anderson Talisca,24,Brazil,CAM,80,81,79,77,76,76,65,84,58,76,72,A
Diogo Jota,21,Portugal,LW,74,72,65,87,76,87,87,78,66,82,72,A
Adrián González,30,Spain,LDM,72,71,69,63,59,67,66,59,67,72,66,A
L. Griffiths,27,Scotland,ST,74,66,46,82,80,79,76,81,88,72,67,A
J. Gallardo,23,Mexico,LW,70,72,65,79,77,75,71,72,69,83,73,A
T. Chandler,28,United States,RB,55,75,73,74,79,54,52,76,69,79,82,A
M. Jojić,26,Serbia,CM,72,76,74,67,69,77,75,78,63,76,65,A
I. Opara,29,United States,RCB,30,68,62,77,88,74,66,58,90,76,85,A
Víctor Rodríguez,28,Spain,LM,68,73,66,79,74,79,79,74,30,68,63,A
F. Manríquez,34,Chile,LCM,55,75,72,63,66,60,81,76,45,86,61,A
D. Ndongala,27,DR Congo,RM,61,67,59,91,86,93,91,60,88,69,40,A
Oscar,26,Brazil,LCM,76,86,82,75,72,86,80,80,64,76,38,A
T. Leistner,27,Germany,RCB,30,60,57,64,67,45,54,54,69,72,85,A
Dani Pacheco,27,Spain,LM,71,77,77,72,70,88,90,59,75,65,58,A
S. García,29,Argentina,LB,49,68,65,34,70,54,50,64,72,78,78,A
Kiko Femenía,27,Spain,RB,55,77,54,77,79,82,85,56,69,77,65,A
Eder,31,Italy,RS,78,76,58,85,84,81,80,80,50,78,60,A
G. Escalante,25,Argentina,CDM,56,74,73,71,72,66,70,79,76,84,73,A
A. Christensen,22,Denmark,LCB,36,77,72,66,70,61,61,31,72,69,73,A
S. Rudy,28,Germany,CDM,63,82,81,69,65,77,75,73,65,77,66,A
K. Hansen,29,Denmark,RCB,43,70,73,70,67,70,72,59,78,78,74,A
Dani García,28,Spain,RCM,51,86,81,53,35,67,72,74,65,88,75,A
Dênildo Stein,30,Brazil,ST,78,62,55,73,78,62,56,76,55,61,69,A
T. Sainsbury,26,Australia,RCB,45,67,68,74,74,67,73,61,77,75,76,A
Ayoze Pérez,24,Spain,CF,78,71,51,77,75,83,78,66,71,77,53,A
H. Traoré,26,Mali,RB,48,71,70,86,80,72,82,68,90,76,62,A
N. Viergever,28,Netherlands,LCB,42,68,69,67,73,65,67,64,76,85,74,A
Galeno,20,Brazil,LW,68,68,53,85,83,77,70,74,65,73,64,A
U. Račić,20,Serbia,CDM,60,74,72,54,65,54,52,74,66,76,77,A
C. Roldan,23,United States,RM,63,73,70,71,69,77,84,70,83,89,65,A
T. Pukki,28,Finland,ST,76,70,35,81,79,82,72,73,75,79,67,A
A. Barrada,29,Morocco,CAM,64,76,75,73,76,80,72,71,68,63,68,A
M. Isla,30,Chile,RB,41,75,72,80,75,84,78,65,66,79,68,A
M. Iturra,34,Chile,CDM,27,69,69,54,47,65,71,68,69,69,66,A
F. Dionisi,31,Italy,ST,74,65,36,79,85,66,68,75,74,72,63,A
J. Milner,32,England,CM,62,84,81,63,62,69,73,82,62,91,71,A
S. van Beek,23,Netherlands,CB,23,68,74,60,67,50,54,64,70,68,77,A
William,23,Brazil,RB,32,75,64,78,82,78,80,76,66,76,65,A
L. Moore,25,England,LCB,24,68,66,67,74,59,66,55,81,78,81,A
J. Hernández,30,Mexico,ST,84,65,56,77,69,75,79,75,83,66,53,A
F. Klaus,25,Germany,RM,69,73,62,85,79,76,78,74,67,89,68,A
G. Clichy,32,France,LB,34,70,69,78,80,77,74,52,70,82,66,A
L. De Silvestri,30,Italy,RM,64,76,71,75,75,68,58,74,78,77,78,A
F. Helander,25,Sweden,CB,28,52,48,46,52,54,54,58,68,63,83,A
M. Agu,25,Nigeria,RDM,41,74,70,67,66,68,61,56,82,86,76,A
N. Lodeiro,29,Uruguay,CAM,65,79,76,71,68,78,78,71,65,87,61,A
K. Rekik,23,Netherlands,CB,33,75,68,66,69,65,64,60,77,70,80,A
G. Sakai,27,Japan,RB,41,72,69,76,74,78,76,62,76,78,65,A
Nildo Petrolina,32,Brazil,LW,64,71,68,83,80,81,73,78,76,85,39,A
V. Claesson,26,Sweden,RM,72,74,69,72,74,76,63,75,48,88,64,A
B. Henrichs,21,Germany,LB,50,77,66,78,78,76,71,62,65,75,68,A
J. Ramírez,25,Argentina,LW,72,76,72,74,78,78,78,66,40,71,60,A
N. Maksimović,26,Serbia,CB,22,59,59,62,68,49,58,39,67,67,86,A
Jô,31,Brazil,ST,78,67,56,66,72,68,54,78,74,70,85,A
Cristiano Ronaldo,33,Portugal,ST,94,81,77,89,91,87,70,95,95,88,79,A
Diogo Figueiras,27,Portugal,RB,41,71,66,85,84,87,90,77,83,77,37,A
Iván López,24,Spain,RB,52,73,66,79,75,72,81,67,67,66,67,A
L. Bender,29,Germany,RB,59,79,74,66,67,65,63,74,77,86,76,A
M. Dossevi,30,Togo,RM,62,78,70,80,80,76,76,71,76,71,58,A
C. Mayada,27,Uruguay,RB,57,68,65,90,91,74,78,73,72,90,71,A
J. Córdoba,25,Colombia,RS,67,67,54,76,84,66,72,86,78,71,89,A
C. Domínguez,23,Paraguay,LM,70,74,70,78,77,76,70,68,64,77,68,A
J. Ibe,22,England,RM,63,70,61,83,78,80,81,77,57,67,66,A
A. McGeady,32,Republic of Ireland,LM,65,72,69,76,75,91,75,75,57,60,58,A
S. Cárdenas,28,Colombia,CAM,66,72,67,79,79,82,90,72,87,78,38,A
Kaimo Lima,34,Brazil,RCB,50,74,77,76,78,60,59,79,76,61,77,A
R. Krunić,24,Bosnia Herzegovina,RCM,60,76,73,71,69,74,66,72,68,73,68,A
V. Fischer,24,Denmark,LM,74,75,69,80,83,82,75,77,56,80,66,A
Mário Fernandes,27,Russia,RB,56,78,74,79,85,79,61,71,84,87,75,A
B. Gibson,25,England,CB,24,65,57,61,59,57,69,33,75,63,77,A
Ewerton,29,Brazil,CB,30,67,52,54,61,63,61,53,82,60,79,A
O. Pineda,22,Mexico,RDM,65,78,72,85,87,91,85,72,65,87,57,A
J. Aquino,28,Mexico,LM,64,75,68,91,88,91,92,74,76,75,36,A
C. Hourihane,27,Republic of Ireland,LCM,66,77,71,65,68,79,76,71,76,88,69,A
P. Baysse,30,France,RCB,40,72,68,55,66,61,65,59,75,76,83,A
D. Cvitanich,34,Argentina,ST,79,73,65,68,62,72,79,71,81,69,75,A
Welthon,26,Brazil,ST,72,67,52,75,77,74,70,85,74,67,73,A
A. Potuk,27,Turkey,CAM,60,75,74,77,79,87,83,75,72,79,61,A
G. Cunningham,27,Republic of Ireland,LB,55,69,67,75,77,70,69,60,73,79,72,A
R. Sambueza,34,Argentina,RM,70,79,78,69,71,69,73,75,67,79,75,A
Pablo Fornals,22,Spain,CAM,77,84,80,71,66,79,76,75,59,77,67,A
F. Smolov,28,Russia,ST,84,77,62,88,85,75,66,80,67,74,75,A
J. Koundé,19,France,RCB,29,66,57,72,70,64,72,41,78,68,66,A
Cristiano,31,Brazil,LS,68,66,65,89,88,70,45,84,56,72,91,A
Rafael,27,Brazil,RB,53,77,70,84,78,79,83,72,82,82,73,A
Charles,34,Brazil,LS,80,69,52,64,59,86,69,83,93,63,71,A
F. Caicedo,29,Ecuador,ST,72,72,59,69,71,61,67,84,75,54,90,A
L. Castro,29,Argentina,CM,58,80,76,78,75,78,78,77,66,75,68,A
Alan Patrick,27,Brazil,LDM,68,76,72,74,75,80,72,77,61,73,38,A
J. Ito,25,Japan,RM,66,68,52,85,91,72,70,63,54,87,66,A
J. Hernández,29,Mexico,CDM,49,74,71,67,72,67,74,74,81,89,69,A
S. Terodde,30,Germany,LS,79,64,40,63,63,54,56,79,65,68,84,A
V. Lindelöf,23,Sweden,CB,36,79,73,68,77,66,63,68,75,75,77,A
N. Skubic,29,Slovenia,RB,44,69,64,73,70,71,67,63,71,79,70,A
G. Defrel,27,France,LS,79,67,60,88,87,82,72,79,42,59,58,A
N. Domingo,33,Argentina,LDM,54,75,77,58,55,74,75,67,68,77,66,A
Joaquín,36,Spain,LS,80,82,83,69,65,72,72,74,33,54,64,A
